identifier	prefixed_short_name	short_name	sorting_order	parent_short_name	parent-XPath	Export_documentation	Export_example	example_explanation	usage_notes	export	children	depth	ordering	To Do	check	action	BDI Data URI	Q	ABCD 3 Label	documentation	abcd3_doc	documentation_corrected	content	content_corrected	Compared Vocabularies	example_value	collection	#_used_Biocase	recommended in OpenUp!	mandatory_recommended_concepts	replaced_by	replaces	added	date_modified	date_created	deprecated	removed	comment	version_history	change_to_2.1	comment_2.06_2.1	TDWG_Wiki_concept	group	subgroup	full_name	content_contains_documentation	recommended	reviewer	editorial_notes	notes_total	element_name	schema_documentation	repeatable	leaf	tdwg_export_type	restriction	restriction_detail	minOccurs	maxOccurs	cardinality	tdwgutil_repeatable	required	type	contains_doc
/DataSets/DataSet/TechnicalContacts/TechnicalContact/Address	abcd:TechnicalContact-Address	TechnicalContact-Address	11	TechnicalContact	/DataSets/DataSet/TechnicalContacts/TechnicalContact	Postal address for the technical contact for the dataset.				true		5	1.1.3.1.5		irrelevant		https://wiki.bgbm.org/entity/Q149	Q149	Address	An address for the technical contact for the dataset.	A string representing an address.		An address for the technical contact for the dataset.				DataSet	109	x	highly_recommended				2005-09-09	2005-09-09			was deprecated in 2.06b, deprecation status removed in 2.06d/e				0009	Agent		Dataset technical contact address	true		Berendsohn 5 Apr 2005			Address	The complete postal address of the agent.	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	0	1	0..1	False	False	String255	false
/DataSets/DataSet/ContentContacts	abcd:ContentContacts	ContentContacts	12	DataSet	/DataSets/DataSet	A container element for several administrative contacts for the dataset.				true	ContentContact	3	1.1.4		Yes		https://wiki.bgbm.org/entity/Q1847	Q1847		A container element for several administrative contacts for the dataset.			A container element for several administrative contacts for the dataset.				DataSet							2005-09-09	2005-09-09							0010	Container			true		Berendsohn 5 Apr 2005			ContentContacts	Questions and feedback about data, or restrictions on use of the data should be directed here. This contact normally represents the agent acting as the original supplier or custodian of the dataset. If a content contact is given on the unit-level, that one should be used for end-user purposes. The element is unbounded to provide for alternative contacts (vacation etc.).	false	false	Class			1	1	1..1	False	True		false
/DataSets/DataSet/ContentContacts/ContentContact	abcd:ContentContact	ContentContact	13	ContentContacts	/DataSets/DataSet/ContentContacts	An administrative contact usually representing the agent acting as the original supplier or custodian of the dataset.				true	ContentContact-@preferred|ContentContact-Name|ContentContact-Email|ContentContact-Phone|ContentContact-Address	4	1.1.4.1		Yes		https://wiki.bgbm.org/entity/Q417	Q417	Contact	An administrative contact usually representing the agent acting as the original supplier or custodian of the dataset.	A concept to bundle contact information.		An administrative contact usually representing the agent acting as the original supplier or custodian of the dataset. This is a GBIF UDDI registry element (Administrative-Contact). <br/><br/>Questions and feedback about data, or restrictions on use of the data, should be directed to the administrative contact. <br/><br/>If an administrative contact is given on the unit-level then that one should be used for end-user purposes.				DataSet							2005-09-09	2005-09-09							0011	Meta			true		Berendsohn 5 Apr 2005			ContentContact	An administrative contact usually representing the agent acting as the original supplier or custodian of the dataset.	true	false	Class			1	unbounded	1..n	True	True	MicroAgentP	true
/DataSets/DataSet/ContentContacts/ContentContact/@preferred	abcd:ContentContact-@preferred	ContentContact-@preferred	14	ContentContact	/DataSets/DataSet/ContentContacts/ContentContact	A flag set to indicate the preferred administrative contact.	true	The element with its attribute set to true is the preferred contact.		true		5	1.1.4.1.1	add the following (former recommended) to documentation or restriction: true, false, or empty. For a single unbounded element there should only be one with the @preferred attribute set to true.	call for action	revise documentation / restriction	https://wiki.bgbm.org/entity/Q2043	Q2043	preferred	A flag set to indicate the preferred administrative contact.			The contact marked as preferred by means of this attribute should be the first approached. The other contacts named should be regarded as alternate contacts.			true	DataSet	1						2005-09-09	2005-09-09							0012	Meta	UDDI	Preferred	false		Berendsohn 5 Apr 2005			preferred		false	true	Property			0		0..1	False	False		true
/DataSets/DataSet/ContentContacts/ContentContact/Name	abcd:ContentContact-Name	ContentContact-Name	15	ContentContact	/DataSets/DataSet/ContentContacts/ContentContact	Administrative contact person, person team, or role for the dataset.				true		5	1.1.4.1.2		Yes		https://wiki.bgbm.org/entity/Q137	Q137	Full Name	Administrative contact person, person team, or role for the dataset.	String of the preferred form of personal name for displaying.		The name of the administrative contact person, person team, or role for the dataset (e.g. head of a department).				DataSet	167	x	mandatory				2005-09-09	2005-09-09							0013	Agent		Dataset administrative contact name	false		Berendsohn 5 Apr 2005			Name	Person, person team, or role name (e. g., 'head of department')	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	1	1	1..1	False	True	String255	false
/DataSets/DataSet/ContentContacts/ContentContact/Email	abcd:ContentContact-Email	ContentContact-Email	16	ContentContact	/DataSets/DataSet/ContentContacts/ContentContact	Email address for the administrative contact for the dataset.	any.person@anyREMOVE-THIS.org			true		5	1.1.4.1.3		Yes		https://wiki.bgbm.org/entity/Q160	Q160	Email Address	Email address for the administrative contact for the dataset.	A valid e-mail address.		Email address for the administrative contact for the dataset.				DataSet	155	x	highly_recommended				2005-09-09	2005-09-09							0014	Agent		Dataset administrative contact email	true		Berendsohn 5 Apr 2005			Email	The email address of the agent	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	0	1	0..1	False	False	String255	false
/DataSets/DataSet/ContentContacts/ContentContact/Phone	abcd:ContentContact-Phone	ContentContact-Phone	17	ContentContact	/DataSets/DataSet/ContentContacts/ContentContact	Phone number for the administrative contact for the dataset.				true		5	1.1.4.1.4		Yes		https://wiki.bgbm.org/entity/Q153	Q153	Telephone Number	Voice phone number for the administrative contact for the dataset.	Telephone or fax number.		Voice phone number for the administrative contact for the dataset.				DataSet	75						2005-09-09	2005-09-09							0015	Agent		Dataset administrative contact phone	true		Berendsohn 5 Apr 2005			Phone	(voice phone)	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	0	1	0..1	False	False	String255	false
/DataSets/DataSet/ContentContacts/ContentContact/Address	abcd:ContentContact-Address	ContentContact-Address	18	ContentContact	/DataSets/DataSet/ContentContacts/ContentContact	Postal address for the administrative contact for the dataset.				true		5	1.1.4.1.5		Yes		https://wiki.bgbm.org/entity/Q149	Q149	Address	An address for the administrative contact for the dataset.	A string representing an address.		An address for the administrative contact for the dataset.				DataSet	99	x	highly_recommended				2005-09-09	2005-09-09							0016	Agent		Dataset administrative contact address	true		Berendsohn 22 Apr 2005			Address	The complete postal address of the agent.	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	0	1	0..1	False	False	String255	false
/DataSets/DataSet/OtherProviders	abcd:DataSet-OtherProviders	DataSet-OtherProviders	19	DataSet	/DataSets/DataSet	Other known on-line providers of this dataset.				true	DataSet-OtherProvider	3	1.1.5		Yes		https://wiki.bgbm.org/entity/Q422	Q422		A container element for several other providers of the datset.			A container element for several other providers of the dataset.				DataSet							2005-09-09	2005-09-09							0017	Meta			false		Berendsohn 5 Apr 2005			OtherProviders	Other known on-line providers of this dataset.	false	false	Class			0	1	0..1	False	False		false
/DataSets/DataSet/OtherProviders/OtherProvider	abcd:DataSet-OtherProvider	DataSet-OtherProvider	20	DataSet-OtherProviders	/DataSets/DataSet/OtherProviders	The UUID (identifier in the UDDI registry) of another data provider known to serve this dataset.				true		4	1.1.5.1		Yes		https://wiki.bgbm.org/entity/Q423	Q423	Other Provider	Another known on-line provider of the dataset.	Another known on-line provider of a dataset.		Another known on-line provider of the dataset. The UUID (identifier in the UDDI registry) of another data provider known to serve this dataset.				DataSet	18						2005-09-09	2005-09-09							0018	Meta	Identifier	Another dataset provider	true		Berendsohn 3 Sep 2005			OtherProvider	The UUID (identifier in the UDDI registry) of another data provider known to serve this dataset.	true	true	Property		( minLength=1,  whiteSpace=collapse, )	1	unbounded	1..n	True	True	String	true
/DataSets/DataSet/Metadata	abcd:DataSet-Metadata	DataSet-Metadata	21	DataSet	/DataSets/DataSet	Metadata referring to the principal source of the entire data collection (the metadata scope may be wider than the objects actually contained in the data set). In its current form, this collection represents a mixture of elements useful for resource discovery (e.g. scope) with metadata actually pertaining to the received (partial) dataset.				true	DataSet-Description|DataSet-IconURI|DataSet-Scope|DataSet-Version|DataSet-RevisionData|DataSet-Owners|DataSet-IPRStatements|DataSet-InformationWithheld|DataSet-DirectAccessURI	3	1.1.6	revise documentation	call for action	revise documentation	https://wiki.bgbm.org/entity/Q96	Q96		Metadata referring to the received or the source dataset.			The metadata defined here can refer to (i) the source of the entire data collection or (ii) the actual contents of the XML document they are contained in, or (iii) both. In the first case, the metadata scope may be wider than the objects actually contained in the XML document. This can be useful for resource discovery (e.g. scope). Annotations for the individial items will specify the reference point.<br/><br/>If a history of the data collection exists (if it was revised or expanded in various projects or at different institutions), this must be reflected in the IPR statements and perhaps in the list of Owners.				DataSet							2005-09-09	2005-09-09							0019	Meta			false		Berendsohn 10 Apr 2005			Metadata	Metadata referring to the principal source of the entire data collection (the metadata scope may be wider than the objects actually contained in the data set). In its current form, this collection represents a mixture of elements useful for resource discovery (e.g. scope) with metadata actually pertaining to the received (partial) dataset.	false	false	Class			1	1	1..1	False	True	ContentMetadata	false
/DataSets/DataSet/Metadata/Description	abcd:DataSet-Description	DataSet-Description	22	DataSet-Metadata	/DataSets/DataSet/Metadata	Dublin Core conformant elements describing the content of the data source queried, representation in different languages possible				true	DataSet-Representation	4	1.1.6.1	Dublin Core?	call for action	revise documentation / reference	https://wiki.bgbm.org/entity/Q97	Q97		Description of the data source queried.			A container for Dublin Core conformant elements describing the content of the data source, from which the present dataset was extracted.<br/><br/>Representation in different languages is possible.		Dublin Core		DataSet							2005-09-09	2005-09-09							0020	Meta			false		Berendsohn 10 Apr 2005			Description	Dublin Core conformant elements describing the content of the data source queried, representation in different languages possible	false	false	Class			1	1	1..1	False	True		false
/DataSets/DataSet/Metadata/Description/Representation	abcd:DataSet-Representation	DataSet-Representation	23	DataSet-Description	/DataSets/DataSet/Metadata/Description	The description in a specified language. Only one representation should be delivered for each language.				true	DataSet-Representation-@language|DataSet-Title|DataSet-Description-Details|DataSet-Coverage|DataSet-Description-URI	5	1.1.6.1.1		Yes		https://wiki.bgbm.org/entity/Q98	Q98		A container for the datasource description in a specified language.			This is a container for the datasource description (title, description, etc.) in a specified language. The attribute @language lets you specify the language, the Representation mechanism makes it possible to ensure that only one name per language is specified.				DataSet							2005-09-09	2005-09-09							0021	Technical			false		Berendsohn 25 May 2005			Representation	The description in a specified language. Only one representation should be delivered for each language. [ATTR: language]	true	false	Class			1	unbounded	1..n	True	True	MetadataDescriptionRepr	false
/DataSets/DataSet/Metadata/Description/Representation/@language	abcd:DataSet-Representation-@language	DataSet-Representation-@language	24	DataSet-Representation	/DataSets/DataSet/Metadata/Description/Representation	The language of the text in the element carrying this attribute, according to RFC 3066.	EN<br/><br/>EN-US<br/><br/>UND		"The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.

Recommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .
"	true		6	1.1.6.1.1.1				https://wiki.bgbm.org/entity/Q99	Q99		Language			The language of the text in the element carrying this attribute. This is a mandatory attribute. The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.		W3C, XML type xs:language	EN<br/><br/>EN-US<br/><br/>UND	DataSet	167		mandatory				2005-09-09	2005-09-09							0026	Meta	Language	Language	true		Berendsohn 10 Apr 2005			language		false	true	Property			1		1..1	False	True		true
/DataSets/DataSet/Metadata/Description/Representation/Title	abcd:DataSet-Title	DataSet-Title	25	DataSet-Representation	/DataSets/DataSet/Metadata/Description/Representation	A short concise title for the dataset.	W3TROPICOS	The name for the Access System to the Missouri Botanical Garden's VAST (VAScular Tropicos) nomenclatural database and associated authority files.		true		6	1.1.6.1.1.2	Dublin Core? see editorial_notes	call for action	revise documentation / reference / editorial_notes	https://wiki.bgbm.org/entity/Q100	Q100	Title	A short concise title for the dataset.	A short concise title for a concept.		"A short concise title for the dataset. This is to be used as source for the Dublin-Core standard element ""Title"", defined as ""A name given to the resource"" and described as ""A name, by which the resource is formally known"". See http://dublincore.org/."		Dublin Core: Title	W3TROPICOS	DataSet	167	x	mandatory				2005-09-09	2005-09-09							0022			Dataset title	true		Berendsohn 25 May 2005	I did not understand references to Dublin Core that I have come across for numerous elements so I have just copied them as is.<br/><br/>Dublin Core is a metadata standard used to describe documents.  It is becoming widely used.	I did not understand references to Dublin Core that I have come across for numerous elements so I have just copied them as is.<br/><br/>Dublin Core is a metadata standard used to describe documents.  It is becoming widely used.	Title	"Source for Dublin-Core standard element ""Title"": A short, concise title. <br /><br />General Note on DublinCore translation: In addition to those that can bee transformed from UBIF metadata, an additional DC.Type='dataset' should be added."	false	true	Property		( minLength=1,  maxLength=255,  whiteSpace=collapse, )	1	1	1..1	False	True	String255	false
/DataSets/DataSet/Metadata/Description/Representation/Details	abcd:DataSet-Description-Details	DataSet-Description-Details	26	DataSet-Representation	/DataSets/DataSet/Metadata/Description/Representation	Free-form text containing a longer description of the data source				true		6	1.1.6.1.1.3	Dublin Core?	call for action	revise documentation / reference	https://wiki.bgbm.org/entity/Q101	Q101	Description	Free-form text containing a longer description of the data source.	Free-form text containing a longer description of a concept.		"Free-form text containing a longer description of the dataset's source or content. Source for the Dublin-Core standard element ""Description"", defined as ""an account of the content of the resource"", such as an abstract or a free-text account of the content."		Dublin Core: Description		DataSet	149	x	highly_recommended				2005-09-09	2005-09-09							0023	Meta		Dataset details	false		Berendsohn 25 May 2005			Details	"Source for Dublin-Core standard element ""Description"": Free-form text containing a longer description of the project."	false	true	Property		( minLength=1,  whiteSpace=collapse, )	0	1	0..1	False	False	String	false
/DataSets/DataSet/Metadata/Description/Representation/Coverage	abcd:DataSet-Coverage	DataSet-Coverage	27	DataSet-Representation	/DataSets/DataSet/Metadata/Description/Representation	Free-form text terminology or descriptions available in the data source (geographic, taxonomic, etc.).				true		6	1.1.6.1.1.4	Dublin Core?	call for action	revise documentation / reference	https://wiki.bgbm.org/entity/Q102	Q102	Coverage	Free-form text terminology or descriptions available in the data source (geographic, taxonomic, etc.).	Free-form text terminology or descriptions available in a data source (geographic, taxonomic, etc.).		"Free-form text describing geographic, taxonomic, or other coverage aspects of terminology or descriptions available in the data source. Source for the Dublin-Core standard element ""Coverage"", defined as ""The extent or scope of the content of the resource"". The comment in the ISO standard reads: ""Typically, Coverage will include spatial location (a place name or geographic coordinates), temporal period (a period label, date, or date range), or jurisdiction (such as a named administrative entity). Recommended best practice is to select a value from a controlled vocabulary (for example, the Thesaurus of Geographic Names [TGN]) and to use, where appropriate, named places or time periods in preference to numeric identifiers such as sets of coordinates or date range."""		Dublin Core: Coverage		DataSet	43						2005-09-09	2005-09-09							0024	Meta		Dataset coverage	false		Berendsohn 25 May 2005			Coverage	"Source for Dublin-Core standard element ""Coverage"": Free-form text describing geographic, taxonomic, or other coverage aspects of terminology or descriptions available in the current project."	false	true	Property		( minLength=1,  whiteSpace=collapse, )	0	1	0..1	False	False	String	false
/DataSets/DataSet/Metadata/Description/Representation/URI	abcd:DataSet-Description-URI	DataSet-Description-URI	28	DataSet-Representation	/DataSets/DataSet/Metadata/Description/Representation	The URL that points to an online source related to the data source, which may or may not serve as an updated version of the description data.	http://www.example.com/index.html			true		6	1.1.6.1.1.5	URI vs URL	call for action	identifier	https://wiki.bgbm.org/entity/Q103	Q103	Description-URI	URL pointing to an online source related to the data source.	URL pointing to an online source describing or being related to the concept.		URL that points to an online source related to the data source, which may or may not serve as an updated version of the description data.				DataSet	108						2005-09-09	2005-09-09							0025	Meta		URL for dataset description	false		Berendsohn 25 May 2005			URI	URL pointing to an online source related to the current project, which may or may not serve an updated version of the description data.	false	true	Property		( whiteSpace=collapse, )	0	1	0..1	False	False	anyURI	false
/DataSets/DataSet/Metadata/IconURI	abcd:DataSet-IconURI	DataSet-IconURI	29	DataSet-Metadata	/DataSets/DataSet/Metadata	The URL of an icon/logo symbolizing the data source.				true		4	1.1.6.2		call for action	identifier	https://wiki.bgbm.org/entity/Q104	Q104	Logo URL	The URL of an icon/logo symbolizing the data source.	The URI of an logo/icon.		The URI of an icon/logo symbolizing the data source. This is to be used in interfaces to mark contributions of different data sources and/or serve as the link to the appropriate metadata.				DataSet	71						2005-09-09	2005-09-09							0027	Meta		Dataset icon URI	true		Berendsohn 25 May 2005			IconURI	The URI of an icon/logo symbolizing the project.	false	true	Property		( whiteSpace=collapse, )	0	1	0..1	False	False	anyURI	false
/DataSets/DataSet/Metadata/Scope	abcd:DataSet-Scope	DataSet-Scope	30	DataSet-Metadata	/DataSets/DataSet/Metadata	Keyword list describing the scope of the data source.				true	DataSet-GeoecologicalTerms|DataSet-TaxonomicTerms	4	1.1.6.3		Yes		https://wiki.bgbm.org/entity/Q105	Q105	Scope	Keyword list describing the scope of the data source.	Keyword list describing the scope of something.		Keyword lists of geographical, geo-ecological, geological, and/or taxonomic terms describing the scope of the data source. In the case of projects that are in progress, scope may define the planned or intended, rather than the achieved, scope or coverage. If a scope is given, then the content available should be entirely within the scope, since this item is for resource discovery purposes. Compare also Coverage in DC.Description (which is language-specific). (Items from Scope may be added to DC.Coverage.)				DataSet							2005-09-09	2005-09-09							0028	Meta			false		Berendsohn 25 May 2005			Scope	Keyword lists of geographical, taxonomic, etc. scopes. In the case of projects in progress, 'scope' may define the planned or intended, rather than the achieved scope (or coverage). If scope is given, the content available should be entirely within scope, because this item is for resource discovery purposes. Compare also Coverage in DC.Description (which is language-specific). (Items from Scope may be added to DC.Coverage)	false	false	Class			0	1	0..1	False	False		false
/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms	abcd:DataSet-GeoecologicalTerms	DataSet-GeoecologicalTerms	31	DataSet-Scope	/DataSets/DataSet/Metadata/Scope	A collection of terms describing the geoecological scope of the source queried by means of area names.	'World', 'Germany', 'Atlantic Ocean', 'Andes', 'Mountains'			true	DataSet-GeoecologicalTerm	5	1.1.6.3.1		Yes		https://wiki.bgbm.org/entity/Q106	Q106		A container for geoecological terms describing the data source.			A container for geoecological terms describing the data source.				DataSet							2005-09-09	2005-09-09							0029	Container			true		Berendsohn 25 May 2005			GeoecologicalTerms	A collection of terms describing the geoecological scope of the source queried by means of area names (e.g. 'World', 'Germany', 'Atlantic Ocean', 'Andes', 'Mountains'). A list of recommended terms should be developed.	false	false	Class			0	1	0..1	False	False		false
/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoecologicalTerm	abcd:DataSet-GeoecologicalTerm	DataSet-GeoecologicalTerm	33	DataSet-GeoecologicalTerms	/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms	An area name describing the or part of the geoecological scope of the source queried.	World'<br/>'Americas'<br/>'Atlantic Ocean'<br/>'Andes'<br/>'Mountains'			true	DataSet-GeoecologicalTerm-@language	6	1.1.6.3.1.1	'Americas' see example value	call for action	example	https://wiki.bgbm.org/entity/Q107	Q107	Geoecological Term	An area name describing the or part of the geoecological scope of the source queried.	An area name describing the or part of the geoecological scope of a queried source.		Term describing the - or part of the - geoecological scope of the source queried by means of an area name. A list of recommended terms should be developed.			World'<br/>'Americas'<br/>'Atlantic Ocean'<br/>'Andes'<br/>'Mountains'	DataSet					/DataSets/DataSet/Metadata/Scope/GeoecologicalTerms/GeoEcologicalTerm	added in 2.06d	2012-11-26	2005-09-09							0030	Meta		Datasource geoecological coverage term	false		Berendsohn 25 May 2005			GeoEcologicalTerm	An area name describing the or part of the geoecological scope of the source queried.	true	true	Property			1	unbounded	1..n	True	True	StringL255	false
